1,01/03/2021 12:00:00 AM,BXMN009,,BOO 37.20,BOO 308-5MS 0582/030,BOO,SINGLE COP20 ECO,185,220,9,"182,30","0,00",0,"0,00","0,00",Nhập Mộc KH,-,M27,,,diem,
2,01/03/2021 12:00:00 AM,BXMN008,,DHY 04.21 - POLO026-S21,DHY 364-5MP 0870/037,ĐỨC DUY,PIQUE CO20,230,250,14,"280,56","0,00",0,"0,00","0,00",Nhập Mộc KH,-,M26,,,diem,
3,01/03/2021 12:00:00 AM,BXMN007,,BOO 05.21,BOO 370-5MS 0680/056,BOO,SINGLE COP26 ECO,180,180,20,"399,54","0,00",0,"0,00","0,00",Nhập Mộc KH,-,M25,,,diem,
4,01/03/2021 12:00:00 AM,BXMN006,,BOO 09.21,BOO 366-5MR 1172/050,BOO,RIB 1X1 COP26 ECO+E20,165,280,9,"134,52","0,00",0,"0,00","0,00",Nhập Mộc KH,-,M24,,,diem,
5,01/03/2021 12:00:00 AM,BXMN005,,BOO 10.21,BOO 367-5MR 1172/052,BOO,RIB 1X1 COP26 ECO+E20,165,280,5,"75,66","0,00",0,"0,00","0,00",Nhập Mộc KH,-,M23,,,diem,
6,01/03/2021 12:00:00 AM,BXMN004,,IBA 03.21 - PO 62.01.21,IBA 376 - 5MS 1171/063,IBASIC VIỆT NAM,SINGLE COP40 + E20,170,170,12,"240,46","0,00",0,"0,00","0,00",Nhập Mộc KH,-,M21,,,diem,
7,01/03/2021 12:00:00 AM,BXMN003,,BOO 07.21,BOO 372 - 5MS 0680/059,BOO,SINGLE COP26 ECO,180,175,20,"385,40","0,00",20,"386,10","0,00",Nhập Mộc KH,-,,,,diem,
8,01/03/2021 12:00:00 AM,BXMN002,,BOO 06.21,BOO 371 - 5MS 0680/058,BOO,SINGLE COP26 ECO,180,175,40,"800,40","0,00",40,"807,20","0,00",Nhập Mộc KH,-,,,,diem,
9,01/03/2021 12:00:00 AM,BXMN001,,CYM 01.21,CYM F01 - 5MR 4777,CHANGE YOUR MIND,RIB 1X1 COP26 ECO + E20,165,280,4,"0,00","0,00",4,"26,90","0,00",Nhập Mộc KH,-,,,,diem,
10,01/03/2021 12:00:00 AM,BXGN001,,TVN 01.21,TVN 058,THANH VÂN,SINGLE CO40+E40,163,227,30,"614,70","0,00",30,"613,50","0,00",Nhập Hàng GC Ngoài,-,,,,diem,
TỔNG,,,,,,,,,,163,"3113,54",0,94,"1833,70",0,,,,,,,
